trialResp.keys,trialResp.corr,trialResp.rt,trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,trials1.ran,square,loc1,loc2,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,trials2.ran,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,0,1.1878,0,0,0,0,1,6,0.2,0,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,1,1.8951,0,1,1,1,1,6,0.2,0,space,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,0.8706,0,2,2,2,1,2,0,0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,1.3799,0,3,3,3,1,9,0.2,-0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,1,0.2691,0,4,4,4,1,9,0.2,-0.2,space,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,1.3506,0,5,5,5,1,6,0.2,0,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,1.2471,0,6,6,6,1,4,-0.2,0,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,0.1976,0,7,7,7,1,3,0.2,0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,1,1.3613,0,8,8,8,1,3,0.2,0.2,space,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,1.7245,0,9,9,9,1,8,0,-0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,1.947,0,10,10,10,1,1,-0.2,0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
,1,,0,11,11,11,1,2,0,0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,0.298,0,12,12,12,1,4,-0.2,0,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
,0,,0,13,13,13,1,4,-0.2,0,space,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,0.6474,0,14,14,14,1,8,0,-0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,0.6325,0,15,15,15,1,5,0,0,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,1,0.4686,0,16,16,16,1,5,0,0,space,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,0.4758,0,17,17,17,1,1,-0.2,0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,0.3812,0,18,18,18,1,3,0.2,0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,0.4028,0,19,19,19,1,6,0.2,0,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,1.3997,0,20,20,20,1,1,-0.2,0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,1,1.0993,0,21,21,21,1,1,-0.2,0.2,space,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,1,1.4916,0,22,22,22,1,1,-0.2,0.2,space,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,1.489,0,23,23,23,1,3,0.2,0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,1.3986,0,24,24,24,1,2,0,0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,0.5741,0,25,25,25,1,1,-0.2,0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,0.4541,0,26,26,26,1,7,-0.2,-0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,1,1.2415,0,27,27,27,1,7,-0.2,-0.2,space,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,1.7023,0,28,28,28,1,2,0,0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,1.8237,0,29,29,29,1,6,0.2,0,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,0.9848,0,30,30,30,1,4,-0.2,0,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,1,1.3497,0,31,31,31,1,4,-0.2,0,space,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,0.3881,0,32,32,32,1,2,0,0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,0.0814,0,33,33,33,1,9,0.2,-0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,1,0.0186,0,34,34,34,1,9,0.2,-0.2,space,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,1.9142,0,35,35,35,1,3,0.2,0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,1.8701,0,36,36,36,1,7,-0.2,-0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
,0,,0,37,37,37,1,7,-0.2,-0.2,space,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,1,0.3061,0,38,38,38,1,7,-0.2,-0.2,space,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,0.2515,0,39,39,39,1,6,0.2,0,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,1,0.2923,0,40,40,40,1,6,0.2,0,space,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,0.5023,0,41,41,41,1,1,-0.2,0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,0.5076,0,42,42,42,1,5,0,0,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,0.4707,0,43,43,43,1,3,0.2,0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,0.7217,0,44,44,44,1,1,-0.2,0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
space,0,1.7856,0,45,45,45,1,7,-0.2,-0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,,,,,
